Coordenadas Geográficas	Cidade, Estado, País	Specific photovoltaic power output
-03.220833°,-064.804167°	Alvarães, Amazonas, Brazil	1500.8
-03.365413°,-068.199573°	Rua José Eufrazio Filho, Amaturá, Amazonas, Brazil	1441.3
-03.580854°,-061.405912°	Rua Álvaro Maia, Anamã, Amazonas, Brazil	1516.2
-03.772778°,-061.644167°	Anori, Amazonas, Brazil	1511.3
-07.196944°,-059.890833°	Rua Treze de Novembro, Apuí, Amazonas, Brazil	1478.7
-04.371944°,-070.191944°	Travessa Antônio de Souza Braga, Atalaia do Norte, Amazonas, Brazil	1432.1
-03.58°,-059.130833°	Rua Francisco Barroncas, Autazes, Amazonas, Brazil	1470.4
-00.975502°,-062.924597°	Avenida Manoel Guimarães, Barcelos, Amazonas, Brazil	1496.1
-02.792191°,-057.069894°	Avenida Espanha, Barreirinha, Amazonas, Brazil	1531.7
-04.375732°,-070.027126°	Avenida Castelo Branco, Benjamin Constant, Amazonas, Brazil	1440.6
-03.897962°,-061.375052°	Rua João Libanio, Beruri, Amazonas, Brazil	1451.2
-02.97°,-057.59°	Travessa Pimentel, Boa Vista do Ramos, Amazonas, Brazil	1459.1
-08.751944°,-067.397778°	unnamed road, Boca do Acre, Amazonas, Brazil	1487.2
-04.38778°,-059.59389°	Avenida Cônego Bento, Borba, Amazonas, Brazil	1502.4
-03.3275°,-061.208889°	Rua Couto Vale, Caapiranga, Amazonas, Brazil	1483.6
-06.537146°,-064.387024°	Rua Padre dos Laurindo, Canutama, Amazonas, Brazil	1485.6
-04.877467°,-066.898668°	Rua Arthur Sá, Carauari, Amazonas, Brazil	1464.3
-03.767778°,-060.368889°	Careiro, Amazonas, Brazil	1444.0
-03.220833°,-059.825833°	Careiro da Várzea, Amazonas, Brazil	1505.8
-04.085°,-063.140833°	Rua Padre José Maria, Coari, Amazonas, Brazil	1495.4
-03.836944°,-062.056944°	Rua Primeiro de Maio, Codajás, Amazonas, Brazil	1483.6
-06.66°,-069.873889°	José Caranha, Eirunepé, Amazonas, Brazil	1442.6
-07.432778°,-070.022778°	Estrada do Cacau, Envira, Amazonas, Brazil	1457.3
-02.513898°,-066.081369°	Estrada da Bare, Fonte Boa, Amazonas, Brazil	1455.0
-07.542833°,-072.576704°	Rua Senador João Bosco, Guajará, Amazonas, Brazil	1445.0
-07.513496°,-063.029114°	Travessa 1, Humaitá, Amazonas, Brazil	1527.4
-07.050833°,-071.695°	Rua Varcy Herculano, Ipixuna, Amazonas, Brazil	1436.9
-03.280567°,-060.185109°	Rua Matrinxã, Iranduba, Amazonas, Brazil	1496.2
-03.135099°,-058.434537°	Rua Borba, Itacoatiara, Amazonas, Brazil	1534.1
-06.435186°,-068.246249°	Rua Maria Madalena, Itamarati, Amazonas, Brazil	1460.7
-02.74889°,-058.02194°	Avenida Nazaré, Itapiranga, Amazonas, Brazil	1538.8
-01.826111°,-066.598889°	Acanauê, Amazonas, Brazil	1436.6
-03.480833°,-066.068889°	unnamed road, Juruá, Amazonas, Brazil	1424.4
-02.74379°,-066.769493°	Rua João Coelho, Jutaí, Amazonas, Brazil	1442.7
-07.260879°,-064.799726°	Rua Coronel Luis Gomes, Lábrea, Amazonas, Brazil	1485.7
-03.299722°,-060.620556°	Rua Marcílio Dias, Manacapuru, Amazonas, Brazil	1492.8
-03.428056°,-060.459444°	Rua Luiz Fernandes, Manaquiri, Amazonas, Brazil	1472.4
-03.106392°,-060.026293°	Avenida João Valério, Manaus, Amazonas, Brazil	1460.2
-05.813035°,-061.299702°	Travessa Pedro Tinoco, Manicoré, Amazonas, Brazil	1490.2
-01.855833°,-065.580833°	unnamed road, Maraã, Amazonas, Brazil	1457.0
-03.38361°,-057.71861°	Rua José Mac Comb, Maués, Amazonas, Brazil	1484.5
-02.185833°,-056.712778°	Rua Nelson Melo, Nhamundá, Amazonas, Brazil	1571.6
-03.888215°,-059.093481°	Rua Triunfo, Nova Olinda do Norte, Amazonas, Brazil	1473.2
-02.620833°,-060.943889°	Avenida Presidente Getulio Vargas, Novo Airão, Amazonas, Brazil	1514.8
-05.127325°,-060.373544°	Rua Cônego Bento, Novo Aripuanã, Amazonas, Brazil	1497.8
-02.628852°,-056.735096°	Avenida Getúlo Vargas, Parintins, Amazonas, Brazil	1532.6
-07.71638°,-067.002506°	Rua Castelo Branco, Pauini, Amazonas, Brazil	1464.7
-02.017222°,-060.025°	Rodovia Manaus - Boa Vista, Presidente Figueiredo, Amazonas, Brazil	1436.2
-02.695896°,-059.696677°	Rua Anísio Jobim, Rio Preto da Eva, Amazonas, Brazil	1432.5
-00.414172°,-065.019938°	Avenida Dom Pedro Massa, Santa Isabel do Rio Negro, Amazonas, Brazil	1465.9
-03.100451°,-067.946844°	Rua Presidente Médici, Santo Antônio do Içá, Amazonas, Brazil	1451.1
00.13°,-067.088889°	São Felipe, Amazonas, Brazil	1405.2
-03.459444°,-068.933333°	Rua Três de Janeiro, São Paulo de Olivença, Amazonas, Brazil	1444.8
-02.57194°,-057.87083°	Rua Justino de Melo, São Sebastião do Uatumã, Amazonas, Brazil	1539.3
-02.83889°,-058.20917°	Rua Beira Mar II, Silves, Amazonas, Brazil	1530.5
-04.2525°,-069.938056°	Rua Bahia, Tabatinga, Amazonas, Brazil	1441.8
